0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.flickr.com|photos|whitehouse|45604635512.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.forbes.com|profile|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,
https|||www.fox10tv.com|news|president-donald-j-trump-approves-florida-emergency-declaration|article_6446478e-cbf6-11e8-8198-13902dc8fabe.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.geni.com|people|Donald-J-Trump-45th-President-of-the-USA|6000000007106626344.html,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.hhs.gov|about|news|2018|01|26|hhs-marks-2017-accomplishments-under-president-donald-j-trump.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.history.com|topics|us-presidents|donald-trump.html,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.imdb.com|name|nm0874339|.html,1,1,2,0,0,1,1,0,0,0,0,48,0,1,0,0,1,0,0,0,0,0,0,0,
https|||www.instagram.com|realdonaldtrump||hl|en.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.investopedia.com|updates|donald-trump-rich|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.kolotv.com|content|news|President-Trump-to-visit-California-fire-scene-as-death-toll-rises-500752381.html.html,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.ksn.com|news|national-world|trump-calls-congressman-adam-schiff-little-adam-schitt-in-tweet|1605795985.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.mbda.gov|news|blog|2017|11|president-donald-j-trump-recognizes-minority-owned-businesses.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
