0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.mcall.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,12,6,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.mercurynews.com|2018|11|17|president-trump-again-blames-forest-management-for-california-fires|.html,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.msnbc.com|david-gura|watch|does-president-trump-know-something-about-the-russia-investigation-that-the-rest-of-us-do-not-1373476419577.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.nbcnews.com|news|world|finland-s-president-rakes-memory-source-trump-remark-n937736.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.nbcsports.com|chicago|bears|did-lauri-markkanen-just-troll-donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.newsweek.com|topic|donald-trump.html,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.newyorker.com|tag|donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.npr.org|tags|511343536|president-trump.html,14,10,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,
https|||www.onthisday.com|people|donald-trump.html,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.orlandosentinel.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,4,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.politico.com|news|donald-trump.html,2,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.psychologytoday.com|us|basics|president-donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.realclearpolitics.com|video|2018|11|18|president_trump_on_divided_congress_mueller_foreign_policy_fake_news_more.html.html,9,6,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,
https|||www.scmp.com|topics|donald-trump.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.sfchronicle.com|california-wildfires|article|President-travels-to-Paradise-to-view-wildfire-13401646.php.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.sun-sentinel.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,5,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.teenvogue.com|tag|donald-trump.html,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theatlantic.com|magazine|archive|2016|06|the-mind-of-donald-trump|480771|.html,9,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theguardian.com|us-news|video|2018|nov|16|theres-always-hope-john-kerry-on-donald-trump-the-us-midterms-and-climate-change-video.html,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theverge.com|2018|11|18|18101476|steve-carell-saturday-night-live-jeff-bezos-amazon-president-donald-trump-hq2-troll.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.today.com|video|president-trump-tours-california-wildfire-damage-nearly-1-300-still-missing-1374015555835.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.townandcountrymag.com|society|politics|a25178315|elvis-babe-ruth-trump-presidential-medal-of-freedom-2018|.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trump.com|biography|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usatoday.com|story|news|politics|onpolitics|2018|11|18|trump-fox-interview-highlights|2048125002|.html,6,3,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usmagazine.com|celebrities|donald-trump|.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usnews.com|topics|people|donald_trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vanityfair.com|people|donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vikings.com|video|president-trump-honors-alan-page-with-presidential-medal-of-freedom.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vox.com|2018|11|18|18101021|snl-jeff-bezos-steve-carell-amazon-hq2-trolling-trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.washingtonpost.com|politics|what-has-president-trump-learned-from-defeat|2018|11|17|8c105250-ea6e-11e8-bbdb-72fdbf9d4fed_story.html.html,9,5,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,
https|||www.washingtonpost.com|world|national-security|trump-suggests-venerated-navy-seal-commander-should-have-found-bin-laden-faster|2018|11|18|363aff2a-eb53-11e8-9236-bb94154151d2_story.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.washingtontimes.com|topics|donald-trump|.html,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,
https|||www.whitehouse.gov|get-involved|write-or-call|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.whitehouse.gov|people|donald-j-trump|.html,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wired.com|tag|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wtva.com|content|news|President-Trump-coming-to-Tupelo-to-campaign-for-Hyde-Smith-500751981.html.html,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.yahoo.com|entertainment|tagged|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.youtube.com|DonaldTrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.youtube.com|watch|v|XgyWQDYWlo0.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||fortune.com|2018|07|23|trump-rouhani-war-tweet|.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||time.com|donald-trump-after-hours|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||time.com|money|5188095|donald-trump-net-worth-2018|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.djournal.com|news|president-trump-to-hold-tupelo-rally|article_7956983e-26a6-5c71-af71-def730c3f12a.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.fox13news.com|news|president-trump-visits-california-ravaged-by-wildfire-1-000-people-missing.html,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.instagram.com|realdonaldtrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.latimes.com|topic|politics-government|donald-trump-PEBSL000163-topic.html.html,11,7,2,1,0,0,0,0,0,0,0,7,4,1,1,0,0,0,0,0,0,0,0,0,
http|||www.nytimes.com|topic|person|donald-trump.html,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.tmz.com|person|donald-trump|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.twitter.com|realdonaldtrump.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
