2018-11-18 21:33:06.817993, 'President Trump', 'www.france24.com', 'https://www.france24.com/en/tag/donald-trump/'
2018-11-18 21:33:06.818280, 'President Trump', 'nypost.com', 'https://nypost.com/tag/donald-trump/'
2018-11-18 21:33:06.818549, 'President Trump', 'www.msnbc.com', 'http://www.msnbc.com/topics/donald-trump'
2018-11-18 21:33:06.818857, 'President Trump', 'www.orlandosentinel.com', 'https://www.orlandosentinel.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:06.819149, 'President Trump', 'www.eonline.com', 'https://www.eonline.com/news/donald_trump'
2018-11-18 21:33:06.819435, 'President Trump', 'www.courant.com', 'https://www.courant.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:06.819803, 'President Trump', 'ballotpedia.org', 'https://ballotpedia.org/Donald_Trump'
2018-11-18 21:33:06.820145, 'President Trump', 'www.dailymail.co.uk', 'https://www.dailymail.co.uk/news/donald_trump/index.html'
2018-11-18 21:33:06.820608, 'President Trump', 'www.realclearpolitics.com', 'https://www.realclearpolitics.com/epolls/other/trump_favorableunfavorable-5493.html'
2018-11-18 21:33:06.820928, 'President Trump', 'www.independent.co.uk', 'https://www.independent.co.uk/news/world/americas/trump-twitter-live-today-latest-tweets-updates-meaning-explained-video-president-analysis-a8630171.html'
2018-11-18 21:33:06.821230, 'President Trump', 'www.trump.com', 'https://www.trump.com/biography/'
2018-11-18 21:33:06.821524, 'President Trump', 'www.wired.com', 'https://www.wired.com/tag/donald-trump/'
2018-11-18 21:33:06.821812, 'President Trump', 'www.usnews.com', 'https://www.usnews.com/topics/people/donald_trump'
2018-11-18 21:33:06.822080, 'President Trump', 'www.capitalgazette.com', 'https://www.capitalgazette.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:06.822357, 'President Trump', 'www.yahoo.com', 'https://www.yahoo.com/entertainment/tagged/donald-trump/'
2018-11-18 21:33:06.822633, 'President Trump', 'www.huffingtonpost.com', 'https://www.huffingtonpost.com/topic/donald-trump'
2018-11-18 21:33:06.822915, 'President Trump', 'www.apnews.com', 'https://www.apnews.com/DonaldTrump'
2018-11-18 21:33:06.823202, 'President Trump', 'topics.nj.com', 'https://topics.nj.com/tag/donald-trump'
2018-11-18 21:33:06.823468, 'President Trump', 'www.mcall.com', 'https://www.mcall.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:06.823755, 'President Trump', 'www.amazon.com', 'https://www.amazon.com/Donald-Talking-Figure-Different-President/dp/B07284QZ59'
2018-11-18 21:33:06.824043, 'President Trump', 'pagesix.com', 'https://pagesix.com/tag/donald-trump/'
2018-11-18 21:33:06.824357, 'President Trump', 'www.facebook.com', 'https://www.facebook.com/DonaldTrump/'
2018-11-18 21:33:06.824666, 'President Trump', 'www.newsweek.com', 'https://www.newsweek.com/topic/donald-trump'
2018-11-18 21:33:06.824973, 'President Trump', 'www.usmagazine.com', 'https://www.usmagazine.com/celebrities/donald-trump/'
2018-11-18 21:33:06.825252, 'President Trump', 'www.factcheck.org', 'https://www.factcheck.org/person/donald-trump/'
2018-11-18 21:33:06.825632, 'President Trump', 'www.bbc.com', 'https://www.bbc.com/news/world-us-canada-37999969'
2018-11-18 21:33:06.825939, 'President Trump', 'www.onthisday.com', 'https://www.onthisday.com/people/donald-trump'
2018-11-18 21:33:06.826213, 'President Trump', 'www.theverge.com', 'https://www.theverge.com/2018/11/18/18101476/steve-carell-saturday-night-live-jeff-bezos-amazon-president-donald-trump-hq2-troll'
2018-11-18 21:33:06.826482, 'President Trump', 'www.foxnews.com', 'https://www.foxnews.com/politics/trump-in-exclusive-interview-reveals-obamas-private-guidance-on-greatest-threat-to-the-u-s'
2018-11-18 21:33:06.826748, 'President Trump', 'www.axios.com', 'https://www.axios.com/trump-birthright-citizenship-executive-order-0cf4285a-16c6-48f2-a933-bd71fd72ea82.html'
2018-11-18 21:33:06.827034, 'President Trump', 'www.washingtonpost.com', 'https://www.washingtonpost.com/politics/2018/11/02/president-trump-has-made-false-or-misleading-claims-over-days/'
2018-11-18 21:33:06.827298, 'President Trump', 'www.theatlantic.com', 'https://www.theatlantic.com/magazine/archive/2016/06/the-mind-of-donald-trump/480771/'
2018-11-18 21:33:06.827560, 'President Trump', 'www.biography.com', 'https://www.biography.com/people/donald-trump-9511238'
2018-11-18 21:33:06.827886, 'President Trump', 'www.bustle.com', 'https://www.bustle.com/donald-trump'
2018-11-18 21:33:06.828229, 'President Trump', 'www.usatoday.com', 'https://www.usatoday.com/story/opinion/2018/10/10/donald-trump-democrats-open-borders-medicare-all-single-payer-column/1560533002/'
2018-11-18 21:33:06.828508, 'President Trump', 'www.cbsnews.com', 'https://www.cbsnews.com/news/donald-trump-full-interview-60-minutes-transcript-lesley-stahl-2018-10-14/'
2018-11-18 21:33:06.828780, 'President Trump', 'www.nbcsports.com', 'https://www.nbcsports.com/chicago/bears/did-lauri-markkanen-just-troll-donald-trump'
2018-11-18 21:33:06.829112, 'President Trump', 'www.wsj.com', 'https://www.wsj.com/articles/donald-trump-played-central-role-in-hush-payoffs-to-stormy-daniels-and-karen-mcdougal-1541786601'
2018-11-18 21:33:06.829389, 'President Trump', 'www.pbs.org', 'https://www.pbs.org/wgbh/frontline/film/president-trump/'
2018-11-18 21:33:06.829686, 'President Trump', 'www.theguardian.com', 'https://www.theguardian.com/sport/2017/sep/22/donald-trump-nfl-national-anthem-protests'
2018-11-18 21:33:06.829952, 'President Trump', 'www.vox.com', 'https://www.vox.com/2018/9/25/17901082/trump-un-2018-speech-full-text'
2018-11-18 21:33:06.830214, 'President Trump', 'www.espn.com', 'http://www.espn.com/nba/story/_/id/24280312/president-donald-trump-takes-shot-lebron-james-tweet'
2018-11-18 21:33:06.830623, 'President Trump', 'fortune.com', 'http://fortune.com/2018/07/23/trump-rouhani-war-tweet/'
2018-11-18 21:33:06.830927, 'President Trump', 'www.haaretz.com', 'https://www.haaretz.com/israel-news/.premium-donald-trump-thinks-the-jews-aren-t-grateful-enough-1.6491820'
2018-11-18 21:33:06.831205, 'President Trump', 'www.ontheissues.org', 'http://www.ontheissues.org/Donald_Trump.htm'
2018-11-18 21:33:06.831503, 'President Trump', 'nymag.com', 'http://nymag.com/intelligencer/2018/11/donald-trump-jr-expecting-to-be-indicted-by-mueller-soon.html'
2018-11-18 21:33:06.831776, 'President Trump', 'worldnewsdailyreport.com', 'https://worldnewsdailyreport.com/tag/donald-trump/'
2018-11-18 21:33:06.832046, 'President Trump', 'www.sfchronicle.com', 'https://www.sfchronicle.com/california-wildfires/article/President-travels-to-Paradise-to-view-wildfire-13401646.php'
2018-11-18 21:33:06.832344, 'President Trump', 'deadline.com', 'https://deadline.com/2018/11/president-donald-trump-tweetstorm-the-sunday-edition-13-1202504422/'
2018-11-18 21:33:06.832613, 'President Trump', 'www.baltimoresun.com', 'https://www.baltimoresun.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:06.832881, 'President Trump', 'abc7news.com', 'https://abc7news.com/trump-promises-change-after-touring-wildfire-devastation/4709157/'
2018-11-18 21:33:06.833191, 'President Trump', 'www.rollingstone.com', 'https://www.rollingstone.com/politics/politics-news/trump-fox-news-interview-757935/'
2018-11-18 21:33:06.833460, 'President Trump', 'krcrtv.com', 'http://krcrtv.com/news/camp-fire/president-trump-in-butte-county-follow-along-as-the-president-tours-the-camp-fire-area'
2018-11-18 21:33:06.833729, 'President Trump', 'www.ctpost.com', 'https://www.ctpost.com/news/article/What-has-President-Trump-learned-from-defeat-13401267.php'
2018-11-18 21:33:06.834004, 'President Trump', 'www.mercurynews.com', 'https://www.mercurynews.com/2018/11/17/president-trump-again-blames-forest-management-for-california-fires/'
2018-11-18 21:33:06.834294, 'President Trump', 'www.urbandictionary.com', 'https://www.urbandictionary.com/define.php?term=President%20Trump'
2018-11-18 21:33:06.834589, 'President Trump', 'www.kcra.com', 'https://www.kcra.com/article/watch-president-arrives-in-california-to-survey-wildfire-damage/25208676'
2018-11-18 21:33:06.834866, 'President Trump', 'www.azcentral.com', 'https://www.azcentral.com/story/news/nation/2018/11/18/president-donald-trump-visits-camp-fire-wildfire-destruction-draws-support-criticism/2046272002/'
2018-11-18 21:33:06.835139, 'President Trump', 'www.djournal.com', 'http://www.djournal.com/news/president-trump-to-hold-tupelo-rally/article_7956983e-26a6-5c71-af71-def730c3f12a.html'
2018-11-18 21:33:06.835511, 'President Trump', 'www.wtva.com', 'https://www.wtva.com/content/news/President-Trump-coming-to-Tupelo-to-campaign-for-Hyde-Smith-500751981.html'
2018-11-18 21:33:06.835861, 'President Trump', 'www.adweek.com', 'https://www.adweek.com/tvnewser/chris-wallace-tells-president-trump-we-the-press-are-in-solidarity-sir/384901'
2018-11-18 21:33:06.836365, 'President Trump', 'www.aol.com', 'https://www.aol.com/article/news/2018/11/18/president-trump-says-raking-can-help-avoid-forest-fires/23592849/'
2018-11-18 21:33:06.836700, 'President Trump', 'www.fox13news.com', 'http://www.fox13news.com/news/president-trump-visits-california-ravaged-by-wildfire-1-000-people-missing'
2018-11-18 21:33:06.837010, 'President Trump', 'www.sacbee.com', 'https://www.sacbee.com/news/state/california/fires/article221810050.html'
2018-11-18 21:33:06.842079, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/2018/11/18/politics/donald-trump-william-mcraven/index.html'
2018-11-18 21:33:06.842397, 'President Trump', 'www.washingtonpost.com', 'https://www.washingtonpost.com/world/national-security/trump-suggests-venerated-navy-seal-commander-should-have-found-bin-laden-faster/2018/11/18/363aff2a-eb53-11e8-9236-bb94154151d2_story.html'
2018-11-18 21:33:06.842710, 'President Trump', 'www.newsday.com', 'https://www.newsday.com/long-island/politics/trump-whitaker-mueller-schiff-house-acosta-1.23568677'
2018-11-18 21:33:06.843018, 'President Trump', 'www.mediaite.com', 'https://www.mediaite.com/tv/watch-trump-mistakenly-calls-fire-ravaged-california-town-pleasure/'
2018-11-18 21:33:06.843325, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/2018/11/18/politics/trump-schiff-little-adam-schitt-tweet/index.html'
2018-11-18 21:33:06.843630, 'President Trump', 'www.foxnews.com', 'https://www.foxnews.com/politics/trump-says-i-dont-want-to-hear-the-tape-of-purported-khashoggi-killing'
2018-11-18 21:33:06.843934, 'President Trump', 'www.axios.com', 'https://www.axios.com/donald-trump-saudi-arabia-jamal-khashoggi-e6a22e39-e1a7-423b-98b1-f10843dda814.html'
2018-11-18 21:33:06.844229, 'President Trump', 'www.bbc.com', 'https://www.bbc.com/news/world-europe-46256296'
2018-11-18 21:33:06.844572, 'President Trump', 'www.theverge.com', 'https://www.theverge.com/2018/11/18/18101476/steve-carell-saturday-night-live-jeff-bezos-amazon-president-donald-trump-hq2-troll'
2018-11-18 21:33:06.844937, 'President Trump', 'www.politico.com', 'https://www.politico.com/story/2018/11/18/trump-adam-schiff-schitt-twitter-1002708'
2018-11-18 21:33:07.079206, 'President Trump', 'twitter.com', 'https://twitter.com/search?q=President+Trump&ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Esearch'
2018-11-18 21:33:07.079514, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.079813, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064246787161145346?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.080114, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.080427, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064216956679716864?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.080722, 'President Trump', 'twitter.com', 'https://twitter.com/RepAdamSchiff?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.081044, 'President Trump', 'twitter.com', 'https://twitter.com/RepAdamSchiff/status/1064225872608141319?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.081326, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.081712, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064245710747590657?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.082062, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.082360, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064227483187318784?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.082643, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
