0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.hindustantimes.com|world-news|nikki-haley-to-be-trump-s-running-mate-in-2020-us-president-denies|story-g6YJNNavd7nPtdhEzSBz9M.html.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.history.com|topics|us-presidents.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.independent.co.uk|topic|us-president.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.investopedia.com|slide-show|poor-us-presidents|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.japantimes.co.jp|news|2018|11|19|asia-pacific|politics-diplomacy-asia-pacific|two-years-philippines-divorced-u-s-president-rodrigo-duterte-still-waiting-china-dividend|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.khanacademy.org|humanities|ap-us-government-and-politics|interactions-among-branches-of-government|roles-and-powers-of-the-president|v|formal-and-informal-powers-of-the-us-president.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.law.cornell.edu|uscode|text|47|606.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.loc.gov|rr|print|list|057_chron.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.marketwatch.com|story|this-hated-conflicted-dishonest-us-president-would-have-a-good-laugh-over-this-midterm-election-2018-11-05.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.metmuseum.org|toah|hd|uspr|hd_uspr.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.mprnews.org|story|2018|11|18|finlands-president-rakes-memory-source-trump-remark.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
