0,https|||www.newyorker.com|news|news-desk|why-is-the-trump-campaign-attacking-senator-kirsten-gillibrand.html,https|||www.newyorker.com|news|news-desk|trump-reportedly-called-sessions-a-dumb-southerner-what-do-alabama-republicans-think-of-that.html,https|||www.newyorker.com|humor|borowitz-report|military-refuses-to-participate-in-trumps-parade-citing-bone-spurs.html,https|||www.newyorker.com|news|current|trump-putin-helsinki.html,https|||www.huffingtonpost.com|entry|twitter-in-melt-down-after-trump-says-synagogue-needed-armed-guard_us_5bd5198fe4b0d38b58843468.html,https|||www.huffingtonpost.com|entry|rep-kevin-mccarthy-delete-tweet-attacking-3-jewish-money-men_us_5bd4fa98e4b0d38b58842c96.html,https|||www.breitbart.com|entertainment|2018|10|27|exclusive-blexit-in-my-own-words|.html,https|||www.breitbart.com|tech|2018|10|27|report-facebooks-political-ad-tools-allows-users-to-purchase-ads-in-the-name-of-mike-pence-isis-others|.html,https|||www.breitbart.com|politics|2018|10|27|barack-obama-complains-about-media-coverage-of-donald-trump|.html,https|||www.breitbart.com|politics|2018|10|27|watch-live-walkaway-from-democrats-rally-in-washington-dc|.html,realdonaldtrump oct2018.html,
https|||www.sanluisobispo.com|news|state|california|article221861285.html.html,0.9606154152704935,0.9417455868311833,0.9610945950639088,0.9666225234090472,0.9744327139514972,0.9772563908778005,0.9757505085889544,0.967418312815214,0.9483782273022879,0.9264706672966599,0.9592533476800238,
https|||www.senate.gov|artandhistory|history|common|briefing|Vice_President.htm.html,0.9612590798930396,0.9353168696827118,0.9062225407613247,0.9691093757512397,0.9600473876213083,0.9651351398686155,0.9364829320111684,0.9036766697881723,0.8682361125716641,0.8225951252210841,0.9263500232414679,
https|||www.senate.gov|artandhistory|history|minute|President_For_A_Day.htm.html,0.9465126755938469,0.9157200140521076,0.9701449965581924,0.9513953241156446,0.9485794242041123,0.9627806450400088,0.9552966586261834,0.9647093627975699,0.9528782440055381,0.9457325859744687,0.9096082886967691,
https|||www.senate.gov|committees|SittingPresidentsVicePresidentsWhoHaveTestifiedBeforeCongressionalCommittees.htm.html,0.928968948223291,0.8930380160341653,0.9715423019510584,0.9303451161466427,0.922713166321042,0.9434799240624572,0.9307095046689532,0.959314857750184,0.9561822252822091,0.9619066432028295,0.8772438301734012,
https|||www.senate.gov|senators|SenatorsWhoBecamePresident.htm.html,0.8541448368033006,0.816486231720324,0.919246457748284,0.8567755984668975,0.8633777336015962,0.8781461684700629,0.8786003439702347,0.9127953023180105,0.9162579827535282,0.9352128321310339,0.816387803122545,
https|||www.smithsonianmag.com|history|real-story-football-follows-president-everywhere-180952779|.html,0.9780828019725708,0.9627599639459575,0.9729120965033521,0.9763975656839666,0.9712127933432435,0.977691899199428,0.9786193792818482,0.9732054672619831,0.9548310660389046,0.9292204024115717,0.9590887108083547,
https|||www.state.gov|p|eur|ci|rs|200years|122802.htm.html,0.8908451736269016,0.8598332208292175,0.9644052067433094,0.8880307705141052,0.8708805246442395,0.9037000129324977,0.9150020003448324,0.9522323413038771,0.9606118028053097,0.9790308097657611,0.837268352040076,
https|||www.state.nj.us|nj|about|famous|presidents.html.html,0.9725550540086949,0.942733278489582,0.9717284184497582,0.9720931280894085,0.9610413632810435,0.9773819197060072,0.9591772163538728,0.9622659011799265,0.948603446635083,0.929767679274729,0.9197660561729293,
https|||www.terrapass.com|us-presidents-environmental-legacies.html,0.9618930281431186,0.9351623286770852,0.9524406166129227,0.9628158753263795,0.9667377557951137,0.9671453256024308,0.9666020103246398,0.9500480179240469,0.9238473244077682,0.9017650330887721,0.9515696539184659,
https|||www.theguardian.com|news|datablog|2012|oct|15|us-presidents-listed.html,0.8775564641594457,0.843381188967478,0.9335439026018445,0.8870215170822754,0.866878066466923,0.899175551974026,0.8964687638591379,0.9320364480179261,0.9233771276626023,0.9387130188547262,0.8502895255934635,
https|||www.thepeninsulaqatar.com|article|19|11|2018|Amir-condoles-with-US-President.html,0.9538621364130974,0.9292599734143272,0.9828548308587199,0.9602192944726066,0.9487402784387747,0.9710285918999096,0.9704711444735133,0.9846422890384443,0.9737262558240934,0.9689686756651378,0.9316944850754445,
https|||www.thoughtco.com|us-presidents-in-american-history-4133351.html,0.9052427305257252,0.8782685327623947,0.9676575529268596,0.9081124127283942,0.8930088772665734,0.9178412485273818,0.9322079180254539,0.9644917443745844,0.9651276128771671,0.976830165875352,0.8814447526136255,
https|||www.titlemax.com|discovery-center|planes-trains-and-automobiles|president-vehicles-throughout-history|.html,0.9601631312983809,0.9496240823346582,0.9672434659391163,0.9580828131384411,0.9578480249588458,0.9651155101347981,0.9811055634814959,0.9749024226749776,0.9616707217814915,0.9410185568825911,0.9485781039619934,
https|||www.travelchannel.com|interests|arts-and-culture|photos|presidential-destinations-1.html,0.9266871053019787,0.8958413236765335,0.975029313345625,0.9219574253087527,0.9162393296971902,0.9355967497001294,0.9385969146218736,0.9649719199770416,0.9699265997373688,0.9785380287285514,0.8909043229682608,
https|||www.u-s-history.com|pages|h579.html.html,0.8513186161120195,0.821209566470204,0.8962315930923438,0.8555967697066688,0.8730333847031405,0.8715811087104718,0.8761292186083707,0.9030303905680818,0.8921404686499729,0.9018937521358403,0.8557001729752629,
https|||www.usa.gov|presidents.html,0.9775273897932789,0.9508397942570518,0.9755001588251605,0.9810657873305102,0.9714850591255374,0.9849610129180729,0.9806315420157122,0.9726061082508662,0.9550283798288804,0.9349421716440183,0.9551746104354942,
https|||www.usatoday.com|story|news|2018|11|17|trump-view-california-fire-devastation-he-blamed-forest-mismanagement|2037886002|.html,0.9837471852653498,0.97354677047568,0.9494739004974715,0.9864058522722008,0.9850070960406913,0.9879888998335109,0.9693417129190645,0.9527391275898693,0.9340175869907039,0.896683631616978,0.9619976968794107,
https|||www.usatoday.com|story|news|politics|2018|11|16|trumps-epa-president-name-andrew-wheeler-permanent-chief|2026779002|.html,0.968245452905422,0.9408637327846936,0.982289227786655,0.9690680018291806,0.9712910175319285,0.9806527619668763,0.9679612208943336,0.9754548350484594,0.961665154223293,0.9513222829902073,0.9469595488840652,
https|||www.usnews.com|education|best-colleges|slideshows|us-presidents-who-were-leaders-of-colleges.html,0.8893245828240094,0.8563037954731291,0.9585373402679185,0.889020147947408,0.8882367768939065,0.9110382563301334,0.9208715211411875,0.9522724514367634,0.9591569427667003,0.9750054804569016,0.8501405201627953,
