0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.businessinsider.com|trump-mexico-canada-trade-deal-nafta-update-usmca-trouble-2018-11.html,13,12,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,
https|||www.bustle.com|donald-trump.html,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cbsnews.com|news|donald-trump-full-interview-60-minutes-transcript-lesley-stahl-2018-10-14|.html,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnbc.com|donald-trump|.html,7,2,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|2018|11|18|politics|donald-trump-william-mcraven|index.html.html,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,
https|||www.cnn.com|2018|11|18|politics|trump-schiff-little-adam-schitt-tweet|index.html.html,3,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.cnn.com|videos|politics|2018|11|18|president-trump-slams-admiral-who-led-bin-laden-raid-orig-ec.cnn.html,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.donaldjtrump.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.donaldtrumpwns.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.facebook.com|POTUS|.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.forbes.com|profile|donald-trump|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,
https|||www.foxnews.com|politics|trump-in-exclusive-interview-reveals-obamas-private-guidance-on-greatest-threat-to-the-u-s.html,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.investopedia.com|updates|donald-trump-companies|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.merriam-webster.com|dictionary|trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.militarytimes.com|news|pentagon-congress|2018|10|15|support-for-trump-is-fading-among-active-duty-troops-new-poll-shows|.html,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.motherjones.com|politics|2018|11|neomi-rao-dwarf-tossing-kavanaugh-replacement|.html,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,
https|||www.nbcnews.com|politics|donald-trump|trump-calls-congressman-adam-schiff-little-adam-schitt-tweet-n937726.html,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.newyorker.com|magazine|2018|10|29|voter-suppression-tactics-in-the-age-of-trump.html,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.npr.org|2018|11|18|669037945|trump-says-of-midterm-losses-my-name-wasn-t-on-the-ballot.html,2,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,
https|||www.nytimes.com|2018|10|21|us|politics|transgender-trump-administration-sex-definition.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
https|||www.onthisday.com|people|donald-trump.html,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.pbs.org|wgbh|frontline|film|trumps-showdown|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.politico.com|news|donald-trump.html,2,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,
https|||www.politico.com|story|2018|11|18|trump-adam-schiff-schitt-twitter-1002708.html,3,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,
https|||www.project-syndicate.org|commentary|weaker-trump-more-unstable-and-dangerous-by-jeffrey-d-sachs-2018-11.html,16,12,0,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,0,0,0,0,0,0,
https|||www.psychologytoday.com|us|basics|president-donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.sfgate.com|california-wildfires|article|Trump-Finland-raking-forest-floors-Camp-Fire-smoke-13401694.php.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.supremecourt.gov|opinions|17pdf|17-965_h315.pdf.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.telegraph.co.uk|donald-trump|.html,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theatlantic.com|magazine|archive|2016|06|the-mind-of-donald-trump|480771|.html,10,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theatlantic.com|magazine|archive|2018|12|peter-navarro-trump-trade|573913|.html,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.thedailybeast.com|trump-hangs-tacky-fantasy-painting-of-himself-with-gop-presidents-in-white-house.html,4,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theguardian.com|us-news|2018|aug|10|omarosa-trump-book-the-apprentice-memoir.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theverge.com|2018|11|18|18101476|steve-carell-saturday-night-live-jeff-bezos-amazon-president-donald-trump-hq2-troll.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trump-news.net|.html,12,5,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,
https|||www.trumpferrypoint.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trumphotels.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
